geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
water_grid_0028,water,train,grid,transfer_region,1.2857142857,1.4142857143,-13.90309838261875,-14.461725104766625,0.14844119122028943,0.41018553092758325,-1.7763568394002505e-15,5.76593890966105,10.657940086158737
water_grid_0029,water,train,grid,off_path,1.2857142857,1.5428571429,-13.100613293059812,-13.408727546311152,0.0,0.3081142532513412,1.7763568394002505e-15,12.145770406858752,19.757384152702365
water_grid_0030,water,train,grid,off_path,1.2857142857,1.6714285714,-13.100613293059814,-13.408727546311155,0.0,0.3081142532513412,0.0,12.145770406858752,19.757384152702365
water_grid_0031,water,train,grid,off_path,1.2857142857,1.8,-13.100613293059812,-13.408727546311152,0.0,0.3081142532513412,1.7763568394002505e-15,12.145770406858752,19.757384152702365
water_grid_0032,water,train,grid,product_like,1.4142857143,0.9,-14.85351202147143,-16.525849831506253,1.101474411695979,0.5708633983388449,0.0,11.151494909790118,16.274230619072146
water_grid_0033,water,train,grid,product_like,1.4142857143,1.0285714286,-15.172747521375468,-16.277005620564037,0.6555122924741825,0.44874580671438463,-1.7763568394002505e-15,5.051322514197142,8.809779454758326
water_grid_0034,water,train,grid,off_path,1.4142857143,1.1571428571,-14.642816608562201,-15.747074707750768,0.6555122924741825,0.44874580671438496,1.7763568394002505e-15,6.325834716701721,11.182344867533455
water_grid_0035,water,train,grid,transfer_region,1.4142857143,1.2857142857,-13.90309838261875,-14.461725104766623,0.14844119122028943,0.41018553092758336,0.0,5.765938909661047,10.657940086158732
water_grid_0036,water,train,grid,transfer_region,1.4142857143,1.4142857143,-11.856228841142888,-12.09070911694457,0.0,0.2344802758016821,0.0,8.44296911341001,13.335678121512741
water_grid_0037,water,train,grid,transfer_region,1.4142857143,1.5428571429,-11.043303081941977,-11.162567662687248,0.0,0.11926458074527134,0.0,7.453711099315658,11.992044409595257
water_grid_0038,water,train,grid,off_path,1.4142857143,1.6714285714,-11.043303081941975,-11.162567662687245,0.0,0.11926458074527134,1.7763568394002505e-15,7.453711099315658,11.992044409595257
water_grid_0039,water,train,grid,off_path,1.4142857143,1.8,-11.043303081941975,-11.162567662687245,0.0,0.11926458074527134,1.7763568394002505e-15,7.453711099315658,11.992044409595257
water_grid_0040,water,train,grid,product_like,1.5428571429,0.9,-15.18899859454179,-15.614664558727693,0.09331642733670367,0.3323495368491969,-1.7763568394002505e-15,1.7100798629650955,2.5170503138521285
water_grid_0041,water,train,grid,product_like,1.5428571429,1.0285714286,-15.039030186768693,-15.37137972361789,0.0,0.3323495368491969,0.0,2.354786345607629,4.1217222881851185
water_grid_0042,water,train,grid,off_path,1.5428571429,1.1571428571,-14.509099273686578,-14.841448810535777,0.0,0.3323495368491975,-1.7763568394002505e-15,3.777378694450487,6.48518315494374
water_grid_0043,water,train,grid,off_path,1.5428571429,1.2857142857,-13.100613293059807,-13.408727546311148,0.0,0.30811425325134056,-1.7763568394002505e-15,12.145770406858752,19.75738415270236
water_grid_0044,water,train,grid,transfer_region,1.5428571429,1.4142857143,-11.04330308314103,-11.162567664011956,0.0,0.1192645808709258,0.0,7.45371110488954,11.99204441851703
water_grid_0045,water,train,grid,transfer_region,1.5428571429,1.5428571429,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995586e-09,1.8515393662710265e-09
water_grid_0046,water,train,grid,transfer_region,1.5428571429,1.6714285714,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995586e-09,1.8515393662710265e-09
water_grid_0047,water,train,grid,off_path,1.5428571429,1.8,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995586e-09,1.8515393662710265e-09
water_grid_0048,water,train,grid,product_like,1.6714285714,0.9,-15.18899859454179,-15.614664558727693,0.09331642733670367,0.3323495368491969,-1.7763568394002505e-15,1.7100798629650955,2.5170503138521285
water_grid_0049,water,train,grid,product_like,1.6714285714,1.0285714286,-15.039030186499847,-15.371379723349044,0.0,0.3323495368491975,0.0,2.354786347319911,4.121722291126239
water_grid_0050,water,train,grid,off_path,1.6714285714,1.1571428571,-14.509099273175508,-14.841448810024705,0.0,0.33234953684919655,0.0,3.7773786950279784,6.485183155885479
water_grid_0051,water,train,grid,off_path,1.6714285714,1.2857142857,-13.100613293177346,-13.408727546311146,0.0,0.30811425313380075,0.0,12.145770406925571,19.757384152576265
water_grid_0052,water,train,grid,off_path,1.6714285714,1.4142857143,-11.043303081941975,-11.162567662687247,0.0,0.11926458074527134,0.0,7.453711099315656,11.992044409595257
water_grid_0053,water,train,grid,transfer_region,1.6714285714,1.5428571429,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995586e-09,1.8515393662710265e-09
water_grid_0054,water,train,grid,transfer_region,1.6714285714,1.6714285714,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995586e-09,1.8515393662710265e-09
water_grid_0055,water,train,grid,transfer_region,1.6714285714,1.8,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995588e-09,1.8515393662710269e-09
water_grid_0056,water,train,grid,product_like,1.8,0.9,-15.18899859454179,-15.61466455872769,0.09331642733670367,0.3323495368491975,1.7763568394002505e-15,1.7100798629650917,2.5170503138521214
water_grid_0057,water,train,grid,product_like,1.8,1.0285714286,-15.03903018649985,-15.371379723349047,0.0,0.33234953684919655,0.0,2.3547863473199078,4.1217222911262335
water_grid_0058,water,train,grid,off_path,1.8,1.1571428571,-14.50909927381916,-14.84144881053578,0.0,0.33234953671661926,-1.7763568394002505e-15,3.777378694197067,6.485183154295535
water_grid_0059,water,train,grid,off_path,1.8,1.2857142857,-13.100613293059812,-13.408727546311153,0.0,0.30811425325134084,0.0,12.145770406858752,19.757384152702365
water_grid_0060,water,train,grid,off_path,1.8,1.4142857143,-11.043303081941975,-11.162567662687248,0.0,0.11926458074527174,-1.7763568394002505e-15,7.453711099315672,11.992044409595282
water_grid_0061,water,train,grid,off_path,1.8,1.5428571429,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995586e-09,1.8515393662710265e-09
water_grid_0062,water,train,grid,transfer_region,1.8,1.6714285714,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995588e-09,1.8515393662710269e-09
water_grid_0063,water,train,grid,transfer_region,1.8,1.8,-10.313867233248688,-10.313867233248688,0.0,0.0,0.0,1.6560671543995586e-09,1.8515393662710265e-09
