geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,qm_energy_eV,base_reference_eV,qm_reference_eV,base_relative_eV,qm_relative_eV,residual_target_eV,base_force_max_eV_per_angstrom
formaldehyde_grid_0048,formaldehyde,train,grid,product_like,1.7714285714,0.65,-15.536499035524422,-3128.5362361063167,-15.278360339065305,-3128.712103255751,-0.2581386964591168,0.17586714943445259,0.4340058458935694,4.3174504231728115
formaldehyde_grid_0049,formaldehyde,train,grid,product_like,1.7714285714,0.7857142857,-15.684738615504957,-3128.9294392234065,-15.278360339065305,-3128.712103255751,-0.40637827643965174,-0.21733596765534458,0.18904230878430717,2.1916024948796298
formaldehyde_grid_0050,formaldehyde,train,grid,transfer_region,1.7714285714,0.9214285714,-15.306728429162519,-3128.7457425180814,-15.278360339065305,-3128.712103255751,-0.02836809009721364,-0.03363926233032544,-0.005271172233111798,3.789257908041938
formaldehyde_grid_0051,formaldehyde,train,grid,transfer_region,1.7714285714,1.0571428571,-12.927758252395074,-3128.3330707327304,-15.278360339065305,-3128.712103255751,2.3506020866702304,0.37903252302066903,-1.9715695636495614,22.85238655860382
formaldehyde_grid_0052,formaldehyde,train,grid,transfer_region,1.7714285714,1.1928571429,-11.204318579072606,-3127.86005825172,-15.278360339065305,-3128.712103255751,4.074041759992699,0.8520450040309697,-3.2219967559617295,2.1916024948796298
formaldehyde_grid_0053,formaldehyde,train,grid,off_path,1.7714285714,1.3285714286,-11.204318579072606,-3127.4185001274664,-15.278360339065305,-3128.712103255751,4.074041759992699,1.293603128284758,-2.7804386317079413,2.1916024948796298
formaldehyde_grid_0054,formaldehyde,train,grid,off_path,1.7714285714,1.4642857143,-11.204318579072606,-3127.06017576808,-15.278360339065305,-3128.712103255751,4.074041759992699,1.651927487670946,-2.4221142723217532,2.1916024948796298
formaldehyde_grid_0055,formaldehyde,train,grid,off_path,1.7714285714,1.6,-11.204318579072606,-3126.8025745242244,-15.278360339065305,-3128.712103255751,4.074041759992699,1.9095287315267342,-2.164513028465965,2.1916024948796298
formaldehyde_grid_0056,formaldehyde,train,grid,product_like,1.9,0.65,-15.536499035524418,-3128.6754445538513,-15.278360339065305,-3128.712103255751,-0.25813869645911325,0.03665870189979614,0.2947973983589094,4.317450423172809
formaldehyde_grid_0057,formaldehyde,train,grid,product_like,1.9,0.7857142857,-15.684738615504957,-3129.024272069284,-15.278360339065305,-3128.712103255751,-0.40637827643965174,-0.312168813532935,0.09420946290671672,2.1916024948796298
